image_name,tags,preds
test_0.jpg,"['primary', 'clear', 'agriculture', 'road', 'water']",clear primary
test_1.jpg,"['primary', 'clear', 'agriculture', 'road', 'water']",clear primary
test_2.jpg,"['primary', 'clear', 'agriculture', 'road', 'water']",partly_cloudy primary
test_3.jpg,"['primary', 'clear', 'agriculture', 'road', 'water']",primary
test_4.jpg,"['primary', 'clear', 'agriculture', 'road', 'water']",
test_5.jpg,"['primary', 'clear', 'agriculture', 'road', 'water']",clear primary
test_6.jpg,"['primary', 'clear', 'agriculture', 'road', 'water']",primary
test_7.jpg,"['primary', 'clear', 'agriculture', 'road', 'water']",clear habitation road
test_8.jpg,"['primary', 'clear', 'agriculture', 'road', 'water']",clear primary
test_9.jpg,"['primary', 'clear', 'agriculture', 'road', 'water']",primary
test_10.jpg,"['primary', 'clear', 'agriculture', 'road', 'water']",partly_cloudy primary
test_11.jpg,"['primary', 'clear', 'agriculture', 'road', 'water']",clear primary
test_12.jpg,"['primary', 'clear', 'agriculture', 'road', 'water']",cloudy
test_13.jpg,"['primary', 'clear', 'agriculture', 'road', 'water']",clear primary
test_14.jpg,"['primary', 'clear', 'agriculture', 'road', 'water']",clear primary
test_15.jpg,"['primary', 'clear', 'agriculture', 'road', 'water']",clear primary
test_16.jpg,"['primary', 'clear', 'agriculture', 'road', 'water']",agriculture clear primary road
test_17.jpg,"['primary', 'clear', 'agriculture', 'road', 'water']",primary
test_18.jpg,"['primary', 'clear', 'agriculture', 'road', 'water']",primary
test_19.jpg,"['primary', 'clear', 'agriculture', 'road', 'water']",clear primary
test_20.jpg,"['primary', 'clear', 'agriculture', 'road', 'water']",clear primary
test_21.jpg,"['primary', 'clear', 'agriculture', 'road', 'water']",clear primary water
test_22.jpg,"['primary', 'clear', 'agriculture', 'road', 'water']",agriculture clear primary road
test_23.jpg,"['primary', 'clear', 'agriculture', 'road', 'water']",
test_24.jpg,"['primary', 'clear', 'agriculture', 'road', 'water']",agriculture partly_cloudy primary
test_25.jpg,"['primary', 'clear', 'agriculture', 'road', 'water']",clear primary
test_26.jpg,"['primary', 'clear', 'agriculture', 'road', 'water']",agriculture partly_cloudy primary road
